1,-25.467
2,-20.547
3,-17.487
4,-15.077
5,-12.78396
6,-11.18397
8,-8.78397
10,-6.78397
12,-5.38397
14,-3.98397
16,-2.88397
18,-1.88397
20,-0.98397
22,-0.18397
24,0.51603
26,1.21603
28,1.81603
30,2.31603
32,2.81603
34,3.41603
35,3.61603
36,4.766025
38,5.21602
40,5.61602
42,6.01602
44,6.41602
46,6.71602
48,7.11602
50,7.41602
52,7.71602
54,8.01602
56,8.31602
58,8.51602
60,8.81602
62,9.11602
64,9.31602
66,9.616025
67,10.01603
68,10.21602
70,10.41602
72,10.61602
74,10.81602
76,11.01602
78,11.21602
80,11.41602
82,11.51602
84,11.71602
86,11.91601
88,12.11601
90,12.21601
92,12.41601
94,12.61601
96,12.71601
97,12.81602
98,13.116015
100,13.21601
102,13.41601
104,13.51601
106,13.71601
108,13.81601
110,13.91601
112,14.11601
114,14.21601
116,14.31601
118,14.41601
120,14.51601
122,14.71601
124,14.81601
126,14.91601
128,15.016015
129,15.21601
130,15.21601
132,15.31601
134,15.41601
136,15.61601
138,15.61601
140,15.816
142,15.816
144,15.916
146,16.016
148,16.116
150,16.216
152,16.316
154,16.416
156,16.416
158,16.516
159,16.61601
160,16.716005
162,16.816
164,16.916
166,16.916
168,17.016
170,17.116
172,17.216
174,17.216
176,17.316
178,17.416
180,17.416
182,17.516
184,17.616
186,17.616
188,17.716
190,17.816005
191,17.916
192,17.916
194,18.016
196,18.116
198,18.116
200,18.216
202,18.216
204,18.316
206,18.316
208,18.416
210,18.516
212,18.516
214,18.616
216,18.616
218,18.716
220,18.716
221,18.816
222,18.816
224,18.916
226,18.916
228,19.016
230,19.016
232,19.116
234,19.116
236,19.216
238,19.216
240,19.316
242,19.316
244,19.416
246,19.416
248,19.416
250,19.516
252,19.56601
